games,event,team,pos,medal,as,athlete_id,noc,discipline,nationality
1996 Summer Olympics,"Doubles, Women (Olympic)",Peng Xingyong,=5,,Chen Ying,777,CHN,Badminton,
1988 Summer Olympics,"Singles, Women (Olympic)",,1,Gold,Chen Jing,778,CHN,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Jiao Zhimin,2,Silver,Chen Jing,778,CHN,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,2,Silver,Chen Jing,778,TPE,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Chen Chiu-Tan,=5,,Chen Jing,778,TPE,Table Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,3,Bronze,Chen Jing,778,TPE,Table Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Xu Jing,=9,,Chen Jing,778,TPE,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=5,,Chen Zihe,779,CHN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Jun Gao,2,Silver,Chen Zihe,779,CHN,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Chen Li,780,CHN,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Chen Li,780,CHN,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Yi Jingqian,=9,,Chen Li,780,CHN,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,1.0,Gold,Deng Yaping,781,CHN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Qiao Hong,1.0,Gold,Deng Yaping,781,CHN,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,1.0,Gold,Deng Yaping,781,CHN,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Qiao Hong,1.0,Gold,Deng Yaping,781,CHN,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Gu Jun,1,Gold,Ge Fei,782,CHN,Badminton,
2000 Summer Olympics,"Doubles, Mixed (Olympic)",Liu Yong,=9,,Ge Fei,782,CHN,Badminton,
2000 Summer Olympics,"Doubles, Women (Olympic)",Gu Jun,1,Gold,Ge Fei,782,CHN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Chen Zihe,2,Silver,Jun Gao,783,CHN,Table Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=17,,Jun Gao,783,USA,Table Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Michelle Do,=17,,Jun Gao,783,USA,Table Tennis,
2004 Summer Olympics,"Singles, Women (Olympic)",,=17,,Jun Gao,783,USA,Table Tennis,
2004 Summer Olympics,"Doubles, Women (Olympic)",Tawny Banh,=17,,Jun Gao,783,USA,Table Tennis,
2008 Summer Olympics,"Singles, Women (Olympic)",,=9,,Jun Gao,783,USA,Table Tennis,
2008 Summer Olympics,"Team, Women (Olympic)",United States,=5,,Jun Gao,783,USA,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Ge Fei,1.0,Gold,Gu Jun,784,CHN,Badminton,
2000 Summer Olympics,"Doubles, Women (Olympic)",Ge Fei,1.0,Gold,Gu Jun,784,CHN,Badminton,
1988 Summer Olympics,"Doubles, Women (Olympic (non-medal))",Lin Ying,2.0,,Guan Weizhen,785,CHN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Nong Qunhua,2.0,Silver,Guan Weizhen,785,CHN,Badminton,
1992 Summer Olympics,"Singles, Women (Olympic)",,=3,Bronze,Huang Hua,786,CHN,Badminton,
1992 Summer Olympics,"Singles, Men (Olympic)",,=49,,Ibrahim Al-Idokht,787,IRI,Table Tennis,
1924 Summer Olympics,"Singles, Women (Olympic)",,=17,,Phoebe Blair-White,788,IRL,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Walter Ireland,=15,,Phoebe Blair-White,788,IRL,Tennis,
1924 Summer Olympics,"Doubles, Women (Olympic)",Hilda Wallis,=8,,Phoebe Blair-White,788,IRL,Tennis,
1924 Summer Olympics,"Singles, Women (Olympic)",,=28,,Hilda Wallis,789,IRL,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",D'Arcy McCrea,=5,,Hilda Wallis,789,IRL,Tennis,
1924 Summer Olympics,"Doubles, Women (Olympic)",Phoebe Blair-White,=8,,Hilda Wallis,789,IRL,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Owen Casey,=17,,Scott Barron,790,IRL,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Eoin Collins,=17,,Owen Casey,791,IRL,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Owen Casey,791,IRL,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Eoin Collins,=9,,Owen Casey,791,IRL,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Scott Barron,=17,,Owen Casey,791,IRL,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Owen Casey,=17,,Eoin Collins,792,IRL,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Owen Casey,=9,,Eoin Collins,792,IRL,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=61,,Walter Ireland,793,IRL,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Phoebe Blair-White,=15,,Walter Ireland,793,IRL,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",D'Arcy McCrea,=29,,Walter Ireland,793,IRL,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=61,,D'Arcy McCrea,794,IRL,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Hilda Wallis,=5,,D'Arcy McCrea,794,IRL,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Walter Ireland,=29,,D'Arcy McCrea,794,IRL,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=49,,Abdul Wahab Ali,795,IRQ,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Elsa Nielsen,796,ISL,Badminton,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Elsa Nielsen,796,ISL,Badminton,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Árni Þór Hallgrímson,797,ISL,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Broddi Kristjánsson,=17,,Árni Þór Hallgrímson,797,ISL,Badminton,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Broddi Kristjánsson,798,ISL,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Árni Þór Hallgrímson,=17,,Broddi Kristjánsson,798,ISL,Badminton,
1988 Summer Olympics,"Singles, Women (Olympic)",,=33,,Ilana Berger,799,ISR,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Gilad Bloom,800,ISR,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Amos Mansdorf,=9,,Gilad Bloom,800,ISR,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Gilad Bloom,800,ISR,Tennis,
1984 Summer Olympics,"Singles, Men (Olympic (non-medal))",,=17,,Amos Mansdorf,801,ISR,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=9,,Amos Mansdorf,801,ISR,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Gilad Bloom,=9,,Amos Mansdorf,801,ISR,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Shahar Perkiss,802,ISR,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,5,,Flyura Bulatova,803,URS,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Olena Kovtun,6,,Flyura Bulatova,803,URS,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=17,,Flyura Bulatova-Abbate,803,ITA,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Alessia Arisi,804,ITA,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Alessia Arisi,804,ITA,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Laura Negrisoli,=25,,Alessia Arisi,804,ITA,Table Tennis,
1924 Summer Olympics,"Singles, Women (Olympic)",,=17,,Paola Bologna,805,ITA,Tennis,
1924 Summer Olympics,"Doubles, Women (Olympic)",Maria Forlanini,DNS,,Paola Bologna,805,ITA,Tennis,
1984 Summer Olympics,"Singles, Women (Olympic (non-medal))",,=9,,Sandra Cecchini,806,ITA,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=17,,Sandra Cecchini,806,ITA,Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Raffaella Reggi,=9,,Sandra Cecchini,806,ITA,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Sandra Cecchini,806,ITA,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=17,,Silvia Farina,807,ITA,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Laura Golarsa,=17,,Silvia Farina,807,ITA,Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=9,,Silvia Farina,807,ITA,Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Rita Grande,=17,,Silvia Farina,807,ITA,Tennis,
2004 Summer Olympics,"Singles, Women (Olympic)",,=17,,Silvia Farina-Elia,807,ITA,Tennis,
2004 Summer Olympics,"Doubles, Women (Olympic)",Francesca Schiavone,=9,,Silvia Farina-Elia,807,ITA,Tennis,
1920 Summer Olympics,"Singles, Women (Olympic)",,=9,,Rosetta Gagliardi,808,ITA,Tennis,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Cesare Colombo,=8,,Rosetta Gagliardi,808,ITA,Tennis,
1924 Summer Olympics,"Singles, Women (Olympic)",,=9,,Rosetta Gagliardi,808,ITA,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Riccardo Sabbadini,DNS,,Rosetta Gagliardi,808,ITA,Tennis,
1924 Summer Olympics,"Doubles, Women (Olympic)",Giulia Perelli,=5,,Rosetta Gagliardi,808,ITA,Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Raffaella Reggi-Concato,=9,,Laura Garrone,809,ITA,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Silvia Farina,=17,,Laura Golarsa,810,ITA,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Rita Grande,811,ITA,Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=17,,Rita Grande,811,ITA,Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Silvia Farina,=17,,Rita Grande,811,ITA,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Alessia Arisi,=25,,Laura Negrisoli,812,ITA,Table Tennis,
2004 Summer Olympics,"Singles, Women (Olympic)",,=33,,Laura Negrisoli,812,ITA,Table Tennis,
1920 Summer Olympics,"Singles, Women (Olympic)",,DNS,,Giulia Perelli,813,ITA,Tennis,
1920 Summer Olympics,"Doubles, Mixed (Olympic)","Mino, Conte Balbi Di Robecco",DNS,,Giulia Perelli,813,ITA,Tennis,
1924 Summer Olympics,"Singles, Women (Olympic)",,=17,,Giulia Perelli,813,ITA,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Uberto De Morpurgo,=9,,Giulia Perelli,813,ITA,Tennis,
1924 Summer Olympics,"Doubles, Women (Olympic)",Rosetta Gagliardi,=5,,Giulia Perelli,813,ITA,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Katia Piccolini,814,ITA,Tennis,
1984 Summer Olympics,"Singles, Women (Olympic (non-medal))",,=3,,Raffaella Reggi-Concato,815,ITA,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=5,,Raffaella Reggi,815,ITA,Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Sandra Cecchini,=9,,Raffaella Reggi,815,ITA,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Raffaella Reggi-Concato,815,ITA,Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Laura Garrone,=9,,Raffaella Reggi-Concato,815,ITA,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Adriana Serra-Zanetti,816,ITA,Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,=9,,"Mino, Conte Balbi Di Robecco",817,ITA,Tennis,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Giulia Perelli,DNS,,"Mino, Conte Balbi Di Robecco",817,ITA,Tennis,
1920 Summer Olympics,"Doubles, Men (Olympic)",Cesare Colombo,=5,,"Mino, Conte Balbi Di Robecco",817,ITA,Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,=32,,"Alberto, Conte Bonacossa",818,ITA,Tennis,
1920 Summer Olympics,"Doubles, Men (Olympic)",Alberto Suzzi,DNS,,"Alberto, Conte Bonacossa",818,ITA,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Omar Camporese,819,ITA,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Diego Nargiso,=17,,Omar Camporese,819,ITA,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Omar Camporese,819,ITA,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Diego Nargiso,=9,,Omar Camporese,819,ITA,Tennis,
1984 Summer Olympics,"Singles, Men (Olympic (non-medal))",,=3,,Paolo Canè,820,ITA,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=5,,Paolo Canè,820,ITA,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Cristiano Caratti,821,ITA,Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,=9,,Cesare Colombo,822,ITA,Tennis,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Rosetta Gagliardi,=8,,Cesare Colombo,822,ITA,Tennis,
1920 Summer Olympics,"Doubles, Men (Olympic)","Mino, Conte Balbi Di Robecco",=5,,Cesare Colombo,822,ITA,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Cesare Colombo,822,ITA,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Riccardo Sabbadini,DNS,,Cesare Colombo,822,ITA,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=41,,Massimo Costantini,823,ITA,Table Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,3,Bronze,Uberto De Morpurgo,824,ITA,Tennis,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Giulia Perelli,=9,,Uberto De Morpurgo,824,ITA,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Clemente Serventi,=9,,Uberto De Morpurgo,824,ITA,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=9,,Renzo Furlan,825,ITA,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=5,,Renzo Furlan,825,ITA,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=9,,Andrea Gaudenzi,826,ITA,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Diego Nargiso,=17,,Andrea Gaudenzi,826,ITA,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Diego Nargiso,827,ITA,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Omar Camporese,=17,,Diego Nargiso,827,ITA,Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Omar Camporese,=9,,Diego Nargiso,827,ITA,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Andrea Gaudenzi,=17,,Diego Nargiso,827,ITA,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Stefano Pescosolido,828,ITA,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=61,,Clemente Serventi,829,ITA,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Uberto De Morpurgo,=9,,Clemente Serventi,829,ITA,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Michael Hyatt,830,JAM,Table Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=49,,Michael Hyatt,830,JAM,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Stephen Hylton,=25,,Michael Hyatt,830,JAM,Table Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=49,,Stephen Hylton,831,JAM,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Michael Hyatt,=25,,Stephen Hylton,831,JAM,Table Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=57,,Garfield Jones,832,JAM,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=49,,Nadia Al-Hindi,833,JOR,Table Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=41,,Jaklein Al-Duqom,834,JOR,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Kimiko Date,835,JPN,Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Maya Kidowaki,=9,,Kimiko Date,835,JPN,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=5,,Kimiko Date,835,JPN,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Mana Endo,836,JPN,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=9,,Mika Hoshino,837,JPN,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Kiyomi Ishida,4,,Mika Hoshino,837,JPN,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=9,,Mika Hoshino,837,JPN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Fumiyo Yamashita,=9,,Mika Hoshino,837,JPN,Table Tennis,
1984 Summer Olympics,"Singles, Women (Olympic (non-medal))",,=17,,Etsuko Inoue,838,JPN,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=33,,Etsuko Inoue,838,JPN,Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Kumiko Okamoto,=5,,Etsuko Inoue,838,JPN,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=17,,Kiyomi Ishida,839,JPN,Table Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Mika Hoshino,4,,Kiyomi Ishida,839,JPN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Hisako Mori,=9,,Kimiko Jinnai,840,JPN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Kimiko Date,=9,,Maya Kidowaki,841,JPN,Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Harumi Kohara,842,JPN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Hisako Mizui,=9,,Harumi Kohara,842,JPN,Badminton,
1996 Summer Olympics,"Singles, Women (Olympic)",,=5,,Chire Koyama,843,JPN,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Taeko Todo,=5,,Chire Koyama,843,JPN,Table Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=5,,Chire Koyama,843,JPN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Rika Sato,=9,,Yukino Matsumoto,844,JPN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Kyoko Sasage,=9,,Tomomi Matsuo,845,JPN,Badminton,
1996 Summer Olympics,"Doubles, Women (Olympic)",Masako Sakamoto,=9,,Tomomi Matsuo,845,JPN,Badminton,
1996 Summer Olympics,"Doubles, Women (Olympic)",Aiko Miyamura,=17,,Akiko Miyamura,846,JPN,Badminton,
1996 Summer Olympics,"Doubles, Women (Olympic)",Akiko Miyamura,=17,,Aiko Miyamura,847,JPN,Badminton,
1992 Summer Olympics,"Singles, Women (Olympic)",,=9,,Hisako Mizui,848,JPN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Harumi Kohara,=9,,Hisako Mizui,848,JPN,Badminton,
1996 Summer Olympics,"Singles, Women (Olympic)",,=9,,Hisako Mizui,848,JPN,Badminton,
1996 Summer Olympics,"Singles, Women (Olympic)",,=9,,Yasuko Mizui,849,JPN,Badminton,
2000 Summer Olympics,"Singles, Women (Olympic)",,=5,,Yasuko Mizui,849,JPN,Badminton,
1992 Summer Olympics,"Doubles, Women (Olympic)",Kimiko Jinnai,=9,,Hisako Mori,850,JPN,Badminton,
1996 Summer Olympics,"Doubles, Women (Olympic)",Ai Sugiyama,=17,,Kyoko Nagatsuka,851,JPN,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=33,,Kumiko Okamoto,852,JPN,Tennis,
1988 Summer Olympics,"Doubles, Women (Olympic)",Etsuko Inoue,=5,,Kumiko Okamoto,852,JPN,Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Tomomi Matsuo,=9,,Kyoko Sasage,853,JPN,Badminton,
1992 Summer Olympics,"Singles, Women (Olympic)",,=17,,Rika Sato,854,JPN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Yukino Matsumoto,=9,,Rika Sato,854,JPN,Table Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=17,,Rika Sato,854,JPN,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Fumiyo Kaizu,=9,,Rika Sato,854,JPN,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=33,,Naoko Sawamatsu,855,JPN,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=17,,Naoko Sawamatsu,855,JPN,Tennis,
1996 Summer Olympics,"Singles, Women (Olympic)",,=9,,Ai Sugiyama,856,JPN,Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Kyoko Nagatsuka,=17,,Ai Sugiyama,856,JPN,Tennis,
2000 Summer Olympics,"Singles, Women (Olympic)",,=33,,Ai Sugiyama,856,JPN,Tennis,
2000 Summer Olympics,"Doubles, Women (Olympic)",Nana Miyagi,=9,,Ai Sugiyama,856,JPN,Tennis,
2004 Summer Olympics,"Singles, Women (Olympic)",,=5,,Ai Sugiyama,856,JPN,Tennis,
2004 Summer Olympics,"Doubles, Women (Olympic)",Shinobu Asagoe,4,,Ai Sugiyama,856,JPN,Tennis,
2008 Summer Olympics,"Singles, Women (Olympic)",,=33,,Ai Sugiyama,856,JPN,Tennis,
2008 Summer Olympics,"Doubles, Women (Olympic)",Ayumi Morita,=9,,Ai Sugiyama,856,JPN,Tennis,
1988 Summer Olympics,"Singles, Women (Olympic)",,=17,,Kyoko Uchiyama,857,JPN,Table Tennis,
1992 Summer Olympics,"Singles, Women (Olympic)",,=9,,Fumiyo Yamashita,858,JPN,Table Tennis,
1992 Summer Olympics,"Doubles, Women (Olympic)",Mika Hoshino,=9,,Fumiyo Yamashita,858,JPN,Table Tennis,
1996 Summer Olympics,"Doubles, Women (Olympic)",Rika Sato,=9,,Fumiyo Kaizu,858,JPN,Table Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=9,,Masanosuke Fukuda,859,JPN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Asaji Honda,=16,,Masanosuke Fukuda,859,JPN,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=5,,Takeichi Harada,860,JPN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Sunao Okamoto,=16,,Takeichi Harada,860,JPN,Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=61,,Asaji Honda,861,JPN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Masanosuke Fukuda,=16,,Asaji Honda,861,JPN,Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Takao Suzuki,=9,,Satoshi Iwabuchi,862,JPN,Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Thomas Shimada,=17,,Satoshi Iwabuchi,862,JPN,Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,=9,,Seiichiro Kashio,863,JPN,Tennis,
1920 Summer Olympics,"Doubles, Men (Olympic)",Ichiya Kumagae,2,Silver,Seiichiro Kashio,863,JPN,Tennis,
1920 Summer Olympics,"Singles, Men (Olympic)",,2.0,Silver,Ichiya Kumagae,864,JPN,Tennis,
1920 Summer Olympics,"Doubles, Men (Olympic)",Seiichiro Kashio,2.0,Silver,Ichiya Kumagae,864,JPN,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Fumihiko Machida,865,JPN,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Koji Miya,=17,,Fumihiko Machida,865,JPN,Badminton,
1996 Summer Olympics,"Singles, Men (Olympic)",,=9,,Fumihiko Machida,865,JPN,Badminton,
1988 Summer Olympics,"Doubles, Men (Olympic (non-medal))",Shinji Matsuura,3,,Shuji Matsuno,866,JPN,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Shinji Matsuura,=5,,Shuji Matsuno,866,JPN,Badminton,
1988 Summer Olympics,"Singles, Men (Olympic)",,=33,,Shuzo Matsuoka,867,JPN,Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Toshihisa Tsuchihashi,=17,,Shuzo Matsuoka,867,JPN,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Shuzo Matsuoka,867,JPN,Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=33,,Shuzo Matsuoka,867,JPN,Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Koji Matsushita,868,JPN,Table Tennis,
1992 Summer Olympics,"Doubles, Men (Olympic)",Hiroshi Shibutani,=9,,Koji Matsushita,868,JPN,Table Tennis,
1996 Summer Olympics,"Singles, Men (Olympic)",,=9,,Koji Matsushita,868,JPN,Table Tennis,
1996 Summer Olympics,"Doubles, Men (Olympic)",Hiroshi Shibutani,=5,,Koji Matsushita,868,JPN,Table Tennis,
2000 Summer Olympics,"Singles, Men (Olympic)",,=9,,Koji Matsushita,868,JPN,Table Tennis,
2000 Summer Olympics,"Doubles, Men (Olympic)",Hiroshi Shibutani,=17,,Koji Matsushita,868,JPN,Table Tennis,
2004 Summer Olympics,"Singles, Men (Olympic)",,=17,,Koji Matsushita,868,JPN,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic (non-medal))",Shuji Matsuno,3,,Shinji Matsuura,869,JPN,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Shuji Matsuno,=5,,Shinji Matsuura,869,JPN,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Fumihiko Machida,=17,,Koji Miya,870,JPN,Badminton,
1988 Summer Olympics,"Singles, Men (Olympic)",,=25,,Yoshihito Miyazaki,871,JPN,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Seiji Ono,=9,,Yoshihito Miyazaki,871,JPN,Table Tennis,
1992 Summer Olympics,"Singles, Men (Olympic)",,=17,,Hideaki Motoyama,872,JPN,Badminton,
1992 Summer Olympics,"Doubles, Men (Olympic)",Takehiro Watanabe,=17,,Kinjiro Nakamura,873,JPN,Table Tennis,
1924 Summer Olympics,"Singles, Men (Olympic)",,=33,,Sunao Okamoto,874,JPN,Tennis,
1924 Summer Olympics,"Doubles, Men (Olympic)",Takeichi Harada,=16,,Sunao Okamoto,874,JPN,Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=9,,Seiji Ono,875,JPN,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Yoshihito Miyazaki,=9,,Seiji Ono,875,JPN,Table Tennis,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Kiyoshi Saito,876,JPN,Table Tennis,
1988 Summer Olympics,"Doubles, Men (Olympic)",Takehiro Watanabe,=13,,Kiyoshi Saito,876,JPN,Table Tennis,
